campaign_id	date	time	timezone
99870	01/11/2018	00:01:00	UTC
99870	06/11/2018	15:07:00	Eastern time
99870	05/11/2018	22:37:00	Eastern time
99870	03/11/2018	11:34:00	Eastern time
99870	05/11/2018	04:09:00	Eastern time
99870	02/11/2018	16:55:00	Eastern time
99870	06/11/2018	21:30:00	Pacific time
56444	03/11/2018	06:56:00	Pacific time
56444	03/11/2018	06:10:00	Pacific time
56444	05/11/2018	12:58:00	Pacific time
56444	02/11/2018	23:39:00	Pacific time
56444	02/11/2018	21:36:00	Pacific time
56444	03/11/2018	08:40:00	Pacific time
56444	02/11/2018	05:45:00	Pacific time
56444	04/11/2018	07:46:00	Pacific time
56444	04/11/2018	14:19:00	Pacific time
56444	03/11/2018	19:43:00	Pacific time
56444	04/11/2018	23:31:00	Pacific time
56444	03/11/2018	00:57:00	Pacific time
56444	03/11/2018	08:13:00	Eastern time
55112	02/11/2018	02:05:00	Eastern time
55112	04/11/2018	02:52:00	Eastern time
55112	05/11/2018	18:34:00	Eastern time
55112	04/11/2018	03:29:00	Eastern time
55112	03/11/2018	01:57:00	Eastern time
55112	05/11/2018	16:52:00	UTC
55112	05/11/2018	13:38:00	UTC
55112	03/11/2018	06:31:00	UTC
55112	05/11/2018	19:31:00	UTC
55112	04/11/2018	20:08:00	UTC
13354	05/11/2018	12:47:00	UTC
13354	04/11/2018	20:17:00	UTC
13354	03/11/2018	11:26:00	Eastern time
13354	03/11/2018	20:38:00	Eastern time
