"campaign_id","date","time","timezone","advertiser_id","name.x","budget","name.y"
99870,"01/11/2018","00:01:00","UTC",11354,"Christmas cheer",15000,"Coco Cola"
99870,"06/11/2018","20:07:00","UTC",11354,"Christmas cheer",15000,"Coco Cola"
99870,"06/11/2018","03:37:00","UTC",11354,"Christmas cheer",15000,"Coco Cola"
99870,"03/11/2018","16:34:00","UTC",11354,"Christmas cheer",15000,"Coco Cola"
99870,"05/11/2018","09:09:00","UTC",11354,"Christmas cheer",15000,"Coco Cola"
99870,"02/11/2018","21:55:00","UTC",11354,"Christmas cheer",15000,"Coco Cola"
99870,"07/11/2018","05:30:00","UTC",11354,"Christmas cheer",15000,"Coco Cola"
56444,"03/11/2018","14:56:00","UTC",73453,"Run of network",1000,"Ninetendo"
56444,"03/11/2018","14:10:00","UTC",73453,"Run of network",1000,"Ninetendo"
56444,"05/11/2018","20:58:00","UTC",73453,"Run of network",1000,"Ninetendo"
56444,"03/11/2018","07:39:00","UTC",73453,"Run of network",1000,"Ninetendo"
56444,"03/11/2018","05:36:00","UTC",73453,"Run of network",1000,"Ninetendo"
56444,"03/11/2018","16:40:00","UTC",73453,"Run of network",1000,"Ninetendo"
56444,"02/11/2018","13:45:00","UTC",73453,"Run of network",1000,"Ninetendo"
56444,"04/11/2018","15:46:00","UTC",73453,"Run of network",1000,"Ninetendo"
56444,"04/11/2018","22:19:00","UTC",73453,"Run of network",1000,"Ninetendo"
56444,"04/11/2018","03:43:00","UTC",73453,"Run of network",1000,"Ninetendo"
56444,"05/11/2018","07:31:00","UTC",73453,"Run of network",1000,"Ninetendo"
56444,"03/11/2018","08:57:00","UTC",73453,"Run of network",1000,"Ninetendo"
56444,"03/11/2018","13:13:00","UTC",73453,"Run of network",1000,"Ninetendo"
55112,"02/11/2018","07:05:00","UTC",34523,"Q4 performance",250000,"Lever Brows"
55112,"04/11/2018","07:52:00","UTC",34523,"Q4 performance",250000,"Lever Brows"
55112,"05/11/2018","23:34:00","UTC",34523,"Q4 performance",250000,"Lever Brows"
55112,"04/11/2018","08:29:00","UTC",34523,"Q4 performance",250000,"Lever Brows"
55112,"03/11/2018","06:57:00","UTC",34523,"Q4 performance",250000,"Lever Brows"
55112,"05/11/2018","16:52:00","UTC",34523,"Q4 performance",250000,"Lever Brows"
55112,"05/11/2018","13:38:00","UTC",34523,"Q4 performance",250000,"Lever Brows"
55112,"03/11/2018","06:31:00","UTC",34523,"Q4 performance",250000,"Lever Brows"
55112,"05/11/2018","19:31:00","UTC",34523,"Q4 performance",250000,"Lever Brows"
55112,"04/11/2018","20:08:00","UTC",34523,"Q4 performance",250000,"Lever Brows"
13354,"05/11/2018","12:47:00","UTC",11354,"Run of network",9000,"Coco Cola"
13354,"04/11/2018","20:17:00","UTC",11354,"Run of network",9000,"Coco Cola"
13354,"03/11/2018","16:26:00","UTC",11354,"Run of network",9000,"Coco Cola"
13354,"04/11/2018","01:38:00","UTC",11354,"Run of network",9000,"Coco Cola"
